Date,France,United Kingdom,USA,Germany
2016-01-01,794,1,0,5
2016-02-01,656,12,0,9
2016-03-01,270,11,0,6
2016-04-01,778,359,0,23
2016-05-01,1708,828,1,30
2016-06-01,2755,788,81,70
2016-07-01,2137,503,132,128
2016-08-01,1242,844,287,106
2016-09-01,470,1725,114,131
2016-10-01,315,2761,83,324
2016-11-01,670,2120,42,361
2016-12-01,242,1205,32,172
2017-01-01,254,477,48,57
2017-02-01,186,508,49,37
2017-03-01,124,802,209,31
2017-04-01,185,382,134,33
2017-05-01,160,483,164,25
2017-06-01,78,189,276,20
2017-07-01,42,128,53,18
2017-08-01,37,178,33,32
2017-09-01,61,91,18,28
2017-10-01,26,42,2,48
2017-11-01,13,24,0,19
2017-12-01,89,15,0,35
